latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.96037,75.72751,331.02,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.65,2.72,D,0
29.9604,75.40351,343.27,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.36,6.82,D,0
29.96096,75.8354,333.21,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.4,2.39,D,0
29.96108,76.00256,341.72,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.65,5.6,D,0
29.96123,75.40816,345.79,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,299.55,6.82,D,0
29.96174,75.8399,336.68,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.76,3.53,D,0
29.96223,75.68114,337.12,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.15,3.41,D,0
29.96447,76.12566,340.66,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,303.34,11.03,D,0
29.96463,75.63313,334.62,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.23,12.03,D,0
29.96545,75.6377,336.69,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,302.34,12.03,D,0
